REGIAO_EXERC;DE_EXERC;CIE_ESCOLA;UA_EXERC;NOME_UA_EXERC;MUNICIPIO_EXERC;QUADRO_EXERC;DI;CARGO_EXERC;NOME_CARGO_EXERC;CATEG_E;TT_DIAS_FALTA_MEDICA;TT_DIAS_FALTA_JUST;TT_DIAS_FALTA_INJUST;TT_DIAS_LIC_PREMIO;TT_DIAS_LIC_GESTANTE;TT_DIAS_LIC_ACID_TRAB;TT_DIAS_LIC_INTER_PARTIC;TOT_DIAS_AUSENCIAS;TOTAL_DIAS_MES;id_interno
CAPITAL;D.E.REG. CENTRO;922250;21339;"EE G.S.B.M.GUARNIERI          ";"SAO PAULO                              ";QM-DOCENTE;1;6407;PROFESSOR EDUCACAO BASICA I;F;0;0;0;15;0;0;0;15;31;227868
CAPITAL;"D.E.REG. CENTRO OESTE ";0;23842;"D.E.REG. CENTRO OESTE ";"SAO PAULO                              ";QM-DOCENTE;1;6409;PROFESSOR EDUCACAO BASICA II;A;0;2;9;0;0;0;0;11;31;186843
CAPITAL;"D.E.REG. CENTRO OESTE ";0;23842;"D.E.REG. CENTRO OESTE ";"SAO PAULO                              ";QM-DOCENTE;1;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;0;31;31;179150
CAPITAL;"D.E.REG. CENTRO OESTE ";4005;40163;EE MARIA EUGENIA MARTINS-PROFA;"SAO PAULO                              ";QAE;1;4341;AGENTE DE ORGANIZACAO ESCOLAR;A;0;2;0;0;0;0;0;18;31;350965
CAPITAL;"D.E.REG. CENTRO OESTE ";4133;40151;"EE ENNIO VOSS-PROF.          ";"SAO PAULO                              ";QAE;1;4341;AGENTE DE ORGANIZACAO ESCOLAR;A;0;0;0;0;0;0;0;29;31;337638
CAPITAL;"D.E.REG. CENTRO OESTE ";4133;40151;"EE ENNIO VOSS-PROF.          ";"SAO PAULO                              ";QM-DOCENTE;1;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;31;0;0;31;31;142505
CAPITAL;"D.E.REG. CENTRO OESTE ";4133;40151;"EE ENNIO VOSS-PROF.          ";"SAO PAULO                              ";QM-DOCENTE;1;6409;PROFESSOR EDUCACAO BASICA II;F;0;0;0;0;0;0;0;16;31;225792
CAPITAL;"D.E.REG. CENTRO OESTE ";4194;40135;EE ADALGIZA S.SILVEIRA-PROFA.;"SAO PAULO                              ";QAE;1;4341;AGENTE DE ORGANIZACAO ESCOLAR;O;0;1;1;0;0;0;0;7;31;480421
CAPITAL;"D.E.REG. CENTRO OESTE ";4212;40137;"EE ADOLFO GORDO-SENADOR       ";"SAO PAULO                              ";QM-DOCENTE;1;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;0;31;31;200250
CAPITAL;"D.E.REG. CENTRO OESTE ";4236;40167;"EE PEDRO FONSECA-PROF.       ";"SAO PAULO                              ";QM-DOCENTE;2;6409;PROFESSOR EDUCACAO BASICA II;A;0;1;0;0;0;0;0;1;31;325307
CAPITAL;"D.E.REG. CENTRO OESTE ";4571;40222;"EE PAULO ROSSI-PROF.         ";"SAO PAULO                              ";QAE;1;4341;AGENTE DE ORGANIZACAO ESCOLAR;A;1;4;0;0;0;0;0;5;31;199212
CAPITAL;"D.E.REG. CENTRO OESTE ";4765;40197;"EE BARROSO-ALMIRANTE          ";"SAO PAULO                              ";QM-DOCENTE;1;6407;PROFESSOR EDUCACAO BASICA I;F;0;0;0;0;0;0;0;30;31;216417
CAPITAL;"D.E.REG. CENTRO OESTE ";38131;47951;"EE AUGUSTO AMARAL-DEPUTADO    ";"SAO PAULO                              ";QM-DOCENTE;1;5774;PROFESSOR DE ENSINO FUNDAMENTAL E MEDIO;O;0;0;0;0;0;0;0;31;31;303020
CAPITAL;"D.E.REG. CENTRO OESTE ";924271;24258;"EE SOLON BORGES DOS REIS      ";"SAO PAULO                              ";QM-DOCENTE;1;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;31;0;0;0;0;31;31;140326
CAPITAL;D.E.REG. CENTRO SUL;1569;39897;"EE OSVALDO CRUZ               ";"SAO PAULO                              ";QM-DOCENTE;1;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;31;31;31;229586
CAPITAL;D.E.REG. CENTRO SUL;1843;39914;EE FRANCISCO BORGES VIEIRA-DR.;"SAO PAULO                              ";QAE;1;4341;AGENTE DE ORGANIZACAO ESCOLAR;A;0;0;0;30;0;0;0;30;31;133920
CAPITAL;D.E.REG. CENTRO SUL;1843;39914;EE FRANCISCO BORGES VIEIRA-DR.;"SAO PAULO                              ";QM-DOCENTE;1;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;31;31;31;308747
CAPITAL;D.E.REG. CENTRO SUL;1843;39914;EE FRANCISCO BORGES VIEIRA-DR.;"SAO PAULO                              ";QM-DOCENTE;1;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;0;31;31;342185
CAPITAL;D.E.REG. CENTRO SUL;1958;39922;EE JULIA MACEDO PANTOJA-PROFA.;"SAO PAULO                              ";QM-DOCENTE;1;6407;PROFESSOR EDUCACAO BASICA I;A;0;0;0;0;0;0;0;31;31;2254985
CAPITAL;D.E.REG. CENTRO SUL;3759;40128;"EE MARIA JOSE                 ";"SAO PAULO                              ";QAE;1;4341;AGENTE DE ORGANIZACAO ESCOLAR;A;0;0;0;31;0;0;0;31;31;291850
CAPITAL;D.E.REG. CENTRO SUL;3827;40130;"EE RODRIGUES ALVES            ";"SAO PAULO                              ";QM-DOCENTE;1;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;31;31;31;146455
CAPITAL;D.E.REG. CENTRO SUL;4327;40196;"EE ITAUNA-VISCONDE DE         ";"SAO PAULO                              ";QM-DOCENTE;2;5774;PROFESSOR DE ENSINO FUNDAMENTAL E MEDIO;O;0;0;0;0;0;0;0;14;31;409211
CAPITAL;D.E.REG. CENTRO SUL;4327;40196;"EE ITAUNA-VISCONDE DE         ";"SAO PAULO                              ";QM-DOCENTE;2;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;0;7;31;136956
CAPITAL;D.E.REG. CENTRO SUL;4467;40181;"EE GOMES CARDIM-PROF.        ";"SAO PAULO                              ";QM-DOCENTE;1;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;31;31;31;138759
CAPITAL;D.E.REG. CENTRO SUL;4479;40173;"EE ALEXANDRE DE GUSMAO        ";"SAO PAULO                              ";QM-DOCENTE;1;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;31;31;31;223357
CAPITAL;D.E.REG. CENTRO SUL;4893;40216;"EE LASAR SEGALL               ";"SAO PAULO                              ";QM-SUPORTE;1;6200;DIRETOR DE ESCOLA;A;0;0;0;15;0;0;0;15;31;340998
CAPITAL;D.E.REG. CENTRO SUL;39378;53091;"EE MELVIN JONES               ";"SAO PAULO                              ";QM-DOCENTE;1;6409;PROFESSOR EDUCACAO BASICA II;F;1;0;0;0;0;0;0;1;31;142534
CAPITAL;D.E.REG. CENTRO SUL;409169;92605;"EE TERUKO U.YAMAGUTI-PROFA. ";"SAO PAULO                              ";QM-DOCENTE;2;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;31;31;31;172007
CAPITAL;D.E.REG. CENTRO SUL;911033;79170;EE HENRIQUE SOUZA FILHO-HENFIL;"SAO PAULO                              ";QAE;1;4341;AGENTE DE ORGANIZACAO ESCOLAR;A;0;0;0;0;0;0;0;31;31;202098
CAPITAL;"D.E.REG. LESTE 1  ";2422;39987;"EE GABRIEL ORTIZ-PROF.       ";"SAO PAULO                              ";QM-DOCENTE;1;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;0;14;31;187829
CAPITAL;"D.E.REG. LESTE 1  ";2422;39987;"EE GABRIEL ORTIZ-PROF.       ";"SAO PAULO                              ";QM-DOCENTE;2;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;0;31;31;158604
CAPITAL;"D.E.REG. LESTE 1  ";2835;40017;"EE ERMELINO MATARAZZO         ";"SAO PAULO                              ";QAE;1;4341;AGENTE DE ORGANIZACAO ESCOLAR;A;0;0;0;0;0;0;0;4;31;200720
CAPITAL;"D.E.REG. LESTE 1  ";2987;40036;"EE GABRIEL PELICIOTTI-PROF.  ";"SAO PAULO                              ";QM-DOCENTE;1;6407;PROFESSOR EDUCACAO BASICA I;A;0;0;0;0;0;0;0;14;31;265917
CAPITAL;"D.E.REG. LESTE 1  ";3220;40071;"EE MILTON CRUZEIRO-PROF.     ";"SAO PAULO                              ";QAE;1;4341;AGENTE DE ORGANIZACAO ESCOLAR;A;0;0;0;2;0;0;0;2;31;334409
CAPITAL;"D.E.REG. LESTE 1  ";36808;46721;EE ANTONIO OLIVEIRA CAMARGO-PF;"SAO PAULO                              ";QAE;1;4341;AGENTE DE ORGANIZACAO ESCOLAR;O;1;0;0;0;0;0;0;1;31;467857
CAPITAL;"D.E.REG. LESTE 1  ";37011;47941;EE GERALDO C.MOREIRA-PROF.DR.;"SAO PAULO                              ";QM-DOCENTE;1;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;0;7;31;149502
CAPITAL;"D.E.REG. LESTE 1  ";37345;48085;"EE TIDE SETUBAL               ";"SAO PAULO                              ";QAE;1;4341;AGENTE DE ORGANIZACAO ESCOLAR;A;0;2;1;0;0;0;0;9;31;254997
CAPITAL;"D.E.REG. LESTE 1  ";37345;48085;"EE TIDE SETUBAL               ";"SAO PAULO                              ";QM-DOCENTE;1;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;31;31;31;251390
CAPITAL;"D.E.REG. LESTE 1  ";46310;60762;"EE JULIO DINIS                ";"SAO PAULO                              ";QM-DOCENTE;2;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;31;31;31;157650
CAPITAL;"D.E.REG. LESTE 1  ";902846;69018;"EE SAID MURAD                 ";"SAO PAULO                              ";QAE;1;4341;AGENTE DE ORGANIZACAO ESCOLAR;A;0;0;0;0;0;0;0;31;31;220569
CAPITAL;"D.E.REG. LESTE 1  ";902846;69018;"EE SAID MURAD                 ";"SAO PAULO                              ";QM-DOCENTE;1;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;31;31;31;206307
CAPITAL;"D.E.REG. LESTE 1  ";910797;77805;"EE TITO LIVIO FERREIRA-PROF. ";"SAO PAULO                              ";QAE;1;4341;AGENTE DE ORGANIZACAO ESCOLAR;A;0;1;0;0;0;0;0;9;31;174448
CAPITAL;"D.E.REG. LESTE 1  ";910797;77805;"EE TITO LIVIO FERREIRA-PROF. ";"SAO PAULO                              ";QM-DOCENTE;1;6407;PROFESSOR EDUCACAO BASICA I;A;0;0;0;0;0;0;0;26;31;311302
CAPITAL;"D.E.REG. LESTE 1  ";910843;78805;"EE THEREZINHA ARANHA MANTELLI ";"SAO PAULO                              ";QM-DOCENTE;2;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;0;31;31;233315
CAPITAL;"D.E.REG. LESTE 1  ";925457;26360;"EE JOSE DE SAN MARTIN         ";"SAO PAULO                              ";QM-DOCENTE;1;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;0;12;31;201798
CAPITAL;"D.E.REG. LESTE 2   ";2860;40037;"EE ESTELA BORGES MORATO       ";"SAO PAULO                              ";QM-DOCENTE;2;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;31;31;31;279363
CAPITAL;"D.E.REG. LESTE 2   ";2860;40037;"EE ESTELA BORGES MORATO       ";"SAO PAULO                              ";QM-DOCENTE;1;6409;PROFESSOR EDUCACAO BASICA II;F;0;0;0;0;0;0;0;31;31;176642
CAPITAL;"D.E.REG. LESTE 2   ";2999;40048;"EE SHINQUICHI AGARI           ";"SAO PAULO                              ";QM-DOCENTE;2;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;0;2;31;190751
CAPITAL;"D.E.REG. LESTE 2   ";3049;40028;"EE ANTONIO DE PADUA VIEIRA    ";"SAO PAULO                              ";QAE;1;4341;AGENTE DE ORGANIZACAO ESCOLAR;A;0;0;0;2;0;0;0;2;31;299619
CAPITAL;"D.E.REG. LESTE 2   ";37072;47944;"EE JOAQUIM EUGENIO LIMA NETO  ";"SAO PAULO                              ";QM-DOCENTE;1;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;0;16;31;229615
CAPITAL;"D.E.REG. LESTE 2   ";38118;51077;EE ALCEU GUERNER GONZALEZ-PROF;"SAO PAULO                              ";QM-DOCENTE;1;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;31;31;31;224197
CAPITAL;"D.E.REG. LESTE 2   ";48690;62308;EE JOSE RIGHETTO SOBRINHO-PROF;"SAO PAULO                              ";QM-DOCENTE;3;6407;PROFESSOR EDUCACAO BASICA I;A;0;0;0;0;31;0;0;31;31;166191
CAPITAL;"D.E.REG. LESTE 2   ";444133;94374;"EE BERNARDO O.HIGGINS DOM     ";"SAO PAULO                              ";QM-DOCENTE;2;6407;PROFESSOR EDUCACAO BASICA I;F;0;0;0;0;0;0;0;31;31;240022
CAPITAL;"D.E.REG. LESTE 2   ";901726;64034;"EE JOSE BUSTAMANTE-DEPUTADO   ";"SAO PAULO                              ";QM-DOCENTE;1;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;31;31;31;223374
CAPITAL;"D.E.REG. LESTE 2   ";902597;67166;"EE NEYDY CAMPOS MELGES-PROF. ";"SAO PAULO                              ";QM-DOCENTE;1;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;31;31;31;186178
CAPITAL;"D.E.REG. LESTE 2   ";910259;77217;EE MARIA VERA L.SIQUEIRA-PROFA;"SAO PAULO                              ";QM-DOCENTE;1;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;0;31;31;236384
CAPITAL;"D.E.REG. LESTE 2   ";914708;81154;"EE ARACI ZEBRAL TEIXEIRA      ";"SAO PAULO                              ";QM-DOCENTE;1;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;31;31;31;299265
CAPITAL;"D.E.REG. LESTE 2   ";925196;25467;"EE UMBERTO LUIZ D'URSO-DR.   ";"SAO PAULO                              ";QAE;1;4341;AGENTE DE ORGANIZACAO ESCOLAR;A;1;0;0;0;0;0;0;1;31;339525
CAPITAL;"D.E.REG. LESTE 3  ";3128;40064;EE DECIO FERRAZ ALVIM-PROF.DR.;"SAO PAULO                              ";QAE;1;4341;AGENTE DE ORGANIZACAO ESCOLAR;A;1;0;0;0;0;0;0;3;31;248083
CAPITAL;"D.E.REG. LESTE 3  ";3141;40067;"EE LUIZ ROSANOVA-PROF.       ";"SAO PAULO                              ";QAE;1;4341;AGENTE DE ORGANIZACAO ESCOLAR;A;0;0;0;0;0;0;0;31;31;152770
CAPITAL;"D.E.REG. LESTE 3  ";3268;40075;EE SEBASTIAO FARIA ZIMBRES-PF.;"SAO PAULO                              ";QAE;1;4341;AGENTE DE ORGANIZACAO ESCOLAR;A;0;0;0;0;0;0;0;31;31;266968
CAPITAL;"D.E.REG. LESTE 3  ";37060;46734;"EE ROCCA DORDALL              ";"SAO PAULO                              ";QM-DOCENTE;1;5774;PROFESSOR DE ENSINO FUNDAMENTAL E MEDIO;O;0;0;0;0;31;0;0;31;31;421107
CAPITAL;"D.E.REG. LESTE 3  ";40472;56637;"EE ORLANDO SILVA              ";"SAO PAULO                              ";QAE;1;4341;AGENTE DE ORGANIZACAO ESCOLAR;A;1;0;0;0;0;0;0;1;31;218700
CAPITAL;"D.E.REG. LESTE 3  ";43746;57656;EE FRANCISCO ASSIS P.CORREA-PF;"SAO PAULO                              ";QM-DOCENTE;1;5774;PROFESSOR DE ENSINO FUNDAMENTAL E MEDIO;O;0;0;0;0;9;0;0;9;31;268772
CAPITAL;"D.E.REG. LESTE 3  ";48665;62305;EE JOAQUIM S.GOMES REIS-PROF.;"SAO PAULO                              ";QM-DOCENTE;1;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;0;29;31;307371
CAPITAL;"D.E.REG. LESTE 3  ";284324;29075;"EE BELIZE                     ";"SAO PAULO                              ";QAE;1;4341;AGENTE DE ORGANIZACAO ESCOLAR;A;0;0;0;15;0;0;0;15;31;337873
CAPITAL;"D.E.REG. LESTE 3  ";433482;93375;"EE JARDIM PEDRA BRANCA        ";"SAO PAULO                              ";QM-DOCENTE;1;5774;PROFESSOR DE ENSINO FUNDAMENTAL E MEDIO;O;0;0;0;0;0;0;0;31;31;431645
CAPITAL;"D.E.REG. LESTE 3  ";902615;67169;"EE ANTONIETA SOUZA ALCANTARA  ";"SAO PAULO                              ";QM-DOCENTE;1;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;0;5;31;217806
CAPITAL;"D.E.REG. LESTE 3  ";902615;67169;"EE ANTONIETA SOUZA ALCANTARA  ";"SAO PAULO                              ";QM-DOCENTE;2;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;0;5;31;217806
CAPITAL;"D.E.REG. LESTE 3  ";902883;69022;"EE LUIS VAZ DE CAMOES         ";"SAO PAULO                              ";QAE;1;4341;AGENTE DE ORGANIZACAO ESCOLAR;A;1;0;0;0;0;0;0;1;31;230287
CAPITAL;"D.E.REG. LESTE 3  ";904302;69360;"EE AQUILINO RIBEIRO           ";"SAO PAULO                              ";QM-DOCENTE;1;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;0;31;31;210443
CAPITAL;"D.E.REG. LESTE 3  ";904582;69394;"EE MARIA A.FERRAZ-BIBLIOTEC. ";"SAO PAULO                              ";QM-DOCENTE;2;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;31;31;31;162846
CAPITAL;"D.E.REG. LESTE 3  ";904922;70703;"EE CANDIDO P.F.CAMARGO-PROF. ";"SAO PAULO                              ";QM-DOCENTE;2;6407;PROFESSOR EDUCACAO BASICA I;A;0;0;0;0;0;0;31;31;31;227918
CAPITAL;"D.E.REG. LESTE 3  ";906967;71942;EE SALVADOR A.GOSSENS-PRESID.;"SAO PAULO                              ";QM-DOCENTE;1;6409;PROFESSOR EDUCACAO BASICA II;F;0;0;0;0;0;0;0;31;31;165820
CAPITAL;"D.E.REG. LESTE 3  ";906980;71943;EE MARIA L.A.ASSIS PACHECO-PF.;"SAO PAULO                              ";QAE;1;4341;AGENTE DE ORGANIZACAO ESCOLAR;A;0;0;0;15;0;0;0;15;31;218789
CAPITAL;"D.E.REG. LESTE 3  ";907017;71945;"EE JORGE LUIS BORGES          ";"SAO PAULO                              ";QM-DOCENTE;1;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;31;31;31;175002
CAPITAL;"D.E.REG. LESTE 3  ";908782;76110;"EE VALENTIN CARRA-PROF.      ";"SAO PAULO                              ";QM-DOCENTE;1;6407;PROFESSOR EDUCACAO BASICA I;A;0;0;0;0;0;0;0;29;31;246819
CAPITAL;"D.E.REG. LESTE 3  ";909117;76945;"EE ISAAC SCHRAIBER-PROF.     ";"SAO PAULO                              ";QAE;1;4341;AGENTE DE ORGANIZACAO ESCOLAR;A;0;2;0;0;0;0;0;2;31;191842
CAPITAL;"D.E.REG. LESTE 3  ";909117;76945;"EE ISAAC SCHRAIBER-PROF.     ";"SAO PAULO                              ";QAE;1;4341;AGENTE DE ORGANIZACAO ESCOLAR;A;0;0;0;14;0;0;0;14;31;161912
CAPITAL;"D.E.REG. LESTE 3  ";916742;89622;"EE SIMAO MATHIAS-PROF.       ";"SAO PAULO                              ";QM-DOCENTE;2;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;31;31;31;149400
CAPITAL;"D.E.REG. LESTE 3  ";916785;89626;"EE SERGIO ROCHA KIEHL-PROF.  ";"SAO PAULO                              ";QAE;1;4341;AGENTE DE ORGANIZACAO ESCOLAR;A;0;0;0;0;0;0;31;31;31;180992
CAPITAL;"D.E.REG. LESTE 3  ";923266;22709;"EE JARDIM IGUATEMI            ";"SAO PAULO                              ";QM-DOCENTE;1;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;31;31;31;215619
CAPITAL;"D.E.REG. LESTE 4  ";2616;40000;EE MARIA AUGUSTA AVILA-PROFA.;"SAO PAULO                              ";QM-DOCENTE;1;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;0;31;31;248094
CAPITAL;"D.E.REG. LESTE 4  ";2636;39989;"EE HENRIQUE-INFANTE DOM       ";"SAO PAULO                              ";QM-DOCENTE;1;6409;PROFESSOR EDUCACAO BASICA II;F;0;0;0;0;0;0;0;29;31;253815
CAPITAL;"D.E.REG. LESTE 4  ";2641;39996;EE JOSE PEREIRA DE QUEIROZ-DR.;"SAO PAULO                              ";QM-DOCENTE;2;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;31;31;31;219926
CAPITAL;"D.E.REG. LESTE 4  ";2641;39996;EE JOSE PEREIRA DE QUEIROZ-DR.;"SAO PAULO                              ";QM-DOCENTE;1;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;31;31;31;214596
CAPITAL;"D.E.REG. LESTE 4  ";2689;40020;"EE EXERCITO BRASILEIRO        ";"SAO PAULO                              ";QM-DOCENTE;1;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;0;16;31;288003
CAPITAL;"D.E.REG. LESTE 4  ";36559;46722;"EE AUGUSTO BAILLOT-PROF.     ";"SAO PAULO                              ";QAE;1;4341;AGENTE DE ORGANIZACAO ESCOLAR;A;0;0;0;0;0;0;0;21;31;218656
CAPITAL;"D.E.REG. LESTE 4  ";39248;52855;EE QUINTILIANO J.SITRANGULO-PF;"SAO PAULO                              ";QM-DOCENTE;1;6407;PROFESSOR EDUCACAO BASICA I;A;0;0;0;0;0;0;31;31;31;210262
CAPITAL;"D.E.REG. LESTE 4  ";39248;52855;EE QUINTILIANO J.SITRANGULO-PF;"SAO PAULO                              ";QM-DOCENTE;1;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;23;0;0;0;0;23;31;139645
CAPITAL;"D.E.REG. LESTE 4  ";41701;57237;EE MARIA L.R.NEGREIROS-PROFA.;"SAO PAULO                              ";QM-DOCENTE;1;6407;PROFESSOR EDUCACAO BASICA I;A;0;0;0;0;0;0;0;31;31;290897
CAPITAL;"D.E.REG. LESTE 4  ";46279;60758;"EE ANTONIO SYLVIO CUNHA BUENO ";"SAO PAULO                              ";QM-DOCENTE;1;5774;PROFESSOR DE ENSINO FUNDAMENTAL E MEDIO;O;0;0;0;0;0;0;0;31;31;256719
CAPITAL;"D.E.REG. LESTE 4  ";46279;60758;"EE ANTONIO SYLVIO CUNHA BUENO ";"SAO PAULO                              ";QM-DOCENTE;1;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;31;31;31;312045
CAPITAL;"D.E.REG. LESTE 4  ";902639;67167;"EE JOAO CAMARGO-PROF.        ";"SAO PAULO                              ";QM-DOCENTE;1;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;0;31;31;179070
CAPITAL;"D.E.REG. LESTE 4  ";902792;69014;"EE JULIETA FARAO-PROFA.      ";"SAO PAULO                              ";QM-DOCENTE;1;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;0;28;31;269051
CAPITAL;"D.E.REG. LESTE 4  ";909014;76935;"EE PARQUE SAVOY CITY II       ";"SAO PAULO                              ";QAE;1;4341;AGENTE DE ORGANIZACAO ESCOLAR;A;0;0;0;0;0;0;0;31;31;226306
CAPITAL;"D.E.REG. LESTE 4  ";909087;76942;EE KIMAKO KAMADA KINOSHITA-PF.;"SAO PAULO                              ";QM-DOCENTE;2;6407;PROFESSOR EDUCACAO BASICA I;A;0;0;0;0;0;0;31;31;31;152062
CAPITAL;"D.E.REG. LESTE 5  ";673;39830;EE PAULO EGYDIO O.CARVALHO-SEN;"SAO PAULO                              ";QM-DOCENTE;1;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;0;31;31;304228
CAPITAL;"D.E.REG. LESTE 5  ";1880;39917;"EE JOSE CHEDIAK               ";"SAO PAULO                              ";QM-DOCENTE;1;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;0;5;31;268396
CAPITAL;"D.E.REG. LESTE 5  ";1971;39964;"EE MOACYR CAMPOS-PROF.       ";"SAO PAULO                              ";QM-DOCENTE;1;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;0;7;31;275163
