REGIAO_EXERC;DE_EXERC;CIE_ESCOLA;UA_EXERC;NOME_UA_EXERC;MUNICIPIO_EXERC;QUADRO_EXERC;DI;CARGO_EXERC;NOME_CARGO_EXERC;CATEG_E;TT_DIAS_FALTA_MEDICA;TT_DIAS_FALTA_JUST;TT_DIAS_FALTA_INJUST;TT_DIAS_LIC_PREMIO;TT_DIAS_LIC_GESTANTE;TT_DIAS_LIC_PATERNIDADE;TT_DIAS_LIC_ACID_TRAB;TT_DIAS_LIC_INTER_PARTIC;TOT_DIAS_AUSENCIAS;TOTAL_DIAS_MES;id_interno
INTERIOR;"D.E.REG. TAUBATE  ";37898;46386;"EE FELIX GUISARD FILHO-DR.   ";"TAUBATE                                ";QM-DOCENTE;1;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;0;31;31;31;245014
INTERIOR;"D.E.REG. TAUBATE  ";49220;62523;"EE ANTONIO DE MOURA ABUD-DR. ";"TAUBATE                                ";QM-DOCENTE;1;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;0;0;31;31;200070
INTERIOR;"D.E.REG. TUPA  ";32384;44719;"EE JOAO RAMALHO               ";"JOAO RAMALHO                           ";QAE;1;4341;AGENTE DE ORGANIZACAO ESCOLAR;A;0;0;0;8;0;0;0;0;8;31;352875
INTERIOR;"D.E.REG. TUPA  ";32530;44731;"EE ANTONIO JOSE SANTOS DOM    ";"RANCHARIA                              ";QM-DOCENTE;2;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;0;31;31;31;133054
INTERIOR;"D.E.REG. TUPA  ";34666;44836;"EE TSUYA OHNO KIMURA PROFA.  ";"BASTOS                                 ";QAE;1;4341;AGENTE DE ORGANIZACAO ESCOLAR;O;0;0;0;0;0;0;0;0;4;31;482392
INTERIOR;D.E.REG. VOTORANTIM;16809;42151;"EE DANIEL VERANO-PROF.       ";"VOTORANTIM                             ";QM-DOCENTE;1;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;0;6;6;31;282684
INTERIOR;D.E.REG. VOTORANTIM;16846;42147;"EE AFONSO VERGUEIRO-DR.      ";"SALTO DE PIRAPORA                      ";QAE;1;4341;AGENTE DE ORGANIZACAO ESCOLAR;A;0;1;0;0;0;0;0;0;1;31;145580
INTERIOR;D.E.REG. VOTORANTIM;16846;42147;"EE AFONSO VERGUEIRO-DR.      ";"SALTO DE PIRAPORA                      ";QM-DOCENTE;1;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;0;0;7;31;243493
INTERIOR;D.E.REG. VOTORANTIM;16846;42147;"EE AFONSO VERGUEIRO-DR.      ";"SALTO DE PIRAPORA                      ";QM-DOCENTE;1;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;0;31;31;31;200249
INTERIOR;D.E.REG. VOTORANTIM;16883;42140;EE CARLOS AUGUSTO CAMARGO-PROF;"PIEDADE                                ";QAE;1;4341;AGENTE DE ORGANIZACAO ESCOLAR;O;1;0;0;0;0;0;0;0;1;31;497442
INTERIOR;D.E.REG. VOTORANTIM;39809;56478;"EE WILSON P.MIRAMONTES-PROF. ";"VOTORANTIM                             ";QM-DOCENTE;1;6409;PROFESSOR EDUCACAO BASICA II;F;0;0;0;0;0;0;6;0;6;31;184812
INTERIOR;D.E.REG. VOTORANTIM;908320;73481;"EE AZARIAS MENDES PROF.      ";"VOTORANTIM                             ";QAE;1;4341;AGENTE DE ORGANIZACAO ESCOLAR;A;0;0;0;0;0;0;0;0;10;31;193476
INTERIOR;D.E.REG. VOTUPORANGA;918349;1652;"EE SEBASTIAO A.OLIVEIRA       ";"VOTUPORANGA                            ";QAE;1;4340;AGENTE DE SERVICOS ESCOLARES;A;0;0;0;0;0;0;0;0;10;31;211496
INTERIOR;D.E.REG. VOTUPORANGA;919697;10749;EE MARIA NIVEA C.P.FREITAS-PFA;"VOTUPORANGA                            ";QM-DOCENTE;1;5774;PROFESSOR DE ENSINO FUNDAMENTAL E MEDIO;O;0;0;0;0;31;0;0;0;31;31;272470
O_CENTRAL;CEE - CONSELHO ESTADUAL EDUCACAO CEE;0;45921;CEE - CONSELHO ESTADUAL EDUCACAO CEE;"SAO PAULO                              ";QSE;1;4349;OFICIAL ADMINISTRATIVO;A;0;0;0;0;0;0;0;31;31;31;164955
O_CENTRAL;"COORD.GESTAO RECURSOS HUMANOS ";0;39734;"COORD.GESTAO RECURSOS HUMANOS ";"SAO PAULO                              ";QSE;1;3905;ASSESSOR II;C;1;0;0;0;0;0;0;0;1;31;501009
O_CENTRAL;COORD.INF.SERVICOS ESCOLARES;0;94888;COORD.INF.SERVICOS ESCOLARES;"SAO PAULO                              ";QSE;1;5717;ASSESSOR TECNICO III;C;0;0;0;15;0;0;0;0;15;31;336409
O_CENTRAL;"DEPARTAMENTO DE ADMINISTRACAO ";0;40447;"DEPARTAMENTO DE ADMINISTRACAO ";"SAO PAULO                              ";QSE;1;3905;ASSESSOR II;C;0;1;0;0;0;0;0;0;1;31;542248
INTERIOR;D.E.REG. SERTAOZINHO;22755;43594;"EE MAURICIO MONTECCHI         ";"PITANGUEIRAS                           ";QM-DOCENTE;1;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;0;31;31;31;227374
INTERIOR;D.E.REG. SERTAOZINHO;23486;43629;"EE ISAIAS JOSE FERREIRA-DR.  ";"SERTAOZINHO                            ";QM-DOCENTE;1;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;0;31;31;31;243302
INTERIOR;D.E.REG. SERTAOZINHO;23553;43633;"EE BRUNO PIERONI-PROF.       ";"SERTAOZINHO                            ";QM-DOCENTE;2;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;0;31;31;31;153336
INTERIOR;D.E.REG. SERTAOZINHO;915002;82487;"EE LUIZ MARCARI               ";"BARRINHA                               ";QM-DOCENTE;1;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;0;1;1;31;275174
INTERIOR;D.E.REG. SERTAOZINHO;923023;22414;EE NICIA F.ZANUTTO GIRALDI-PFA;"SERTAOZINHO                            ";QM-DOCENTE;1;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;0;31;31;31;242677
INTERIOR;"D.E.REG. SOROCABA ";16159;42074;"EE VERGUEIRO-SENADOR          ";"SOROCABA                               ";QAE;1;4341;AGENTE DE ORGANIZACAO ESCOLAR;A;1;2;0;0;0;0;0;0;3;31;246208
INTERIOR;"D.E.REG. SOROCABA ";16172;42078;"EE FRANCISCO CAMARGO CESAR    ";"SOROCABA                               ";QM-DOCENTE;1;5774;PROFESSOR DE ENSINO FUNDAMENTAL E MEDIO;O;0;0;0;0;0;0;0;0;1;31;488131
INTERIOR;"D.E.REG. SOROCABA ";16172;42078;"EE FRANCISCO CAMARGO CESAR    ";"SOROCABA                               ";QM-DOCENTE;2;6409;PROFESSOR EDUCACAO BASICA II;F;0;0;0;0;31;0;0;0;31;31;349470
INTERIOR;"D.E.REG. SOROCABA ";16305;42090;"EE JOSE REGINATO-PROF.       ";"SOROCABA                               ";QM-DOCENTE;1;6407;PROFESSOR EDUCACAO BASICA I;F;0;0;0;0;0;0;0;0;3;31;224489
INTERIOR;"D.E.REG. SOROCABA ";16329;42089;"EE LAURO SANCHEZ-PROF.       ";"SOROCABA                               ";QM-DOCENTE;1;5774;PROFESSOR DE ENSINO FUNDAMENTAL E MEDIO;O;0;0;0;0;31;0;0;0;31;31;433300
INTERIOR;"D.E.REG. SOROCABA ";46991;60928;"EE LAILA GALEP SACKER-PROFA. ";"SOROCABA                               ";QM-DOCENTE;1;6407;PROFESSOR EDUCACAO BASICA I;A;0;0;0;0;0;0;0;0;31;31;220939
INTERIOR;"D.E.REG. SOROCABA ";518591;97606;EE MARIA ONDINA ANDRADE PROF .;"SOROCABA                               ";QAE;1;4341;AGENTE DE ORGANIZACAO ESCOLAR;O;1;0;0;0;0;0;0;0;1;31;495998
INTERIOR;"D.E.REG. SOROCABA ";900357;64195;"EE MARIO GUILHERME NOTARI     ";"SOROCABA                               ";QAE;1;4341;AGENTE DE ORGANIZACAO ESCOLAR;A;1;0;0;0;0;0;0;0;1;31;145118
INTERIOR;"D.E.REG. SOROCABA ";905318;70843;EE AMELIA CESAR M.ARAUJO-PROFA;"SOROCABA                               ";QM-DOCENTE;1;6407;PROFESSOR EDUCACAO BASICA I;F;0;0;0;0;0;0;0;0;22;31;195321
INTERIOR;"D.E.REG. SOROCABA ";905324;70842;EE JOAO MACHADO DE ARAUJO-DR.;"SOROCABA                               ";QM-DOCENTE;2;6407;PROFESSOR EDUCACAO BASICA I;A;0;0;0;0;0;0;0;0;21;31;232985
INTERIOR;"D.E.REG. SOROCABA ";918593;1677;EE ANA CECILIA MARTINS-PROFA.;"SOROCABA                               ";QAE;1;4341;AGENTE DE ORGANIZACAO ESCOLAR;A;0;0;0;0;0;0;0;31;31;31;210881
INTERIOR;"D.E.REG. SOROCABA ";919913;10771;EE MARCO ANTONIO MENCACCI-PROF;"SOROCABA                               ";QM-DOCENTE;2;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;0;25;25;31;240676
INTERIOR;"D.E.REG. SOROCABA ";922031;20104;EE BEATHRIS C.DEL CISTIA-PROFA;"SOROCABA                               ";QM-DOCENTE;2;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;0;31;31;31;246728
INTERIOR;D.E.REG. SUMARE;37941;51063;"EE CECILIA DE NEGRI-PROFA.   ";"SUMARE                                 ";QM-DOCENTE;1;6407;PROFESSOR EDUCACAO BASICA I;F;0;0;0;0;0;0;0;0;7;31;174645
INTERIOR;D.E.REG. SUMARE;42572;57349;"EE ANTONIO VALLE SOBRINHO     ";"SUMARE                                 ";QAE;1;4341;AGENTE DE ORGANIZACAO ESCOLAR;A;0;0;0;0;0;0;0;31;31;31;220707
INTERIOR;D.E.REG. SUMARE;45548;59126;EE ELYSABETH M.RODRIGUES-PROFA;"SUMARE                                 ";QM-DOCENTE;2;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;0;0;16;31;199861
INTERIOR;D.E.REG. SUMARE;45561;58750;EE MARIANINA ROSIS MORAES-PROF;"SUMARE                                 ";QAE;1;4341;AGENTE DE ORGANIZACAO ESCOLAR;A;1;0;0;0;0;0;0;0;1;31;276842
INTERIOR;D.E.REG. SUMARE;48240;60989;"EE JARDIM SANTA CLARA DO LAGO ";"HORTOLANDIA                            ";QAE;1;4341;AGENTE DE ORGANIZACAO ESCOLAR;O;0;0;0;0;0;0;0;0;31;31;482498
INTERIOR;D.E.REG. SUMARE;48276;60992;"EE MARISTELA CAROLINA MELLIN  ";"HORTOLANDIA                            ";QM-DOCENTE;1;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;0;31;31;31;195528
INTERIOR;D.E.REG. SUMARE;49414;62470;EE ALICE ANTENOR SOUZA-PROFA.;"SUMARE                                 ";QAE;1;4341;AGENTE DE ORGANIZACAO ESCOLAR;A;0;0;31;0;0;0;0;0;31;31;133269
INTERIOR;D.E.REG. SUMARE;900515;64129;EE ONDINA PINTO GONZALEZ-PROFA;"SUMARE                                 ";QM-DOCENTE;1;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;0;0;31;31;222694
INTERIOR;D.E.REG. SUMARE;905636;70785;EE MARIA IVONE MARTINS ROSA-PF;"SUMARE                                 ";QM-DOCENTE;1;5774;PROFESSOR DE ENSINO FUNDAMENTAL E MEDIO;O;0;0;0;0;3;0;0;0;3;31;307645
INTERIOR;D.E.REG. SUMARE;924982;25367;EE IVANI AP.QUEIROZ PEREZ-PROF;"SUMARE                                 ";QAE;1;4341;AGENTE DE ORGANIZACAO ESCOLAR;A;1;5;0;0;0;0;0;0;6;31;152357
INTERIOR;D.E.REG. SUMARE;924982;25367;EE IVANI AP.QUEIROZ PEREZ-PROF;"SUMARE                                 ";QAE;1;4341;AGENTE DE ORGANIZACAO ESCOLAR;A;0;0;0;0;0;0;0;0;9;31;346069
INTERIOR;D.E.REG. TAQUARITINGA;25012;43609;"EE JOEL MIRANDA-CAPITAO       ";"SANTA ERNESTINA                        ";QM-DOCENTE;2;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;0;31;31;31;302420
INTERIOR;D.E.REG. TAQUARITINGA;919470;10726;EE SEBASTIAO F.F.ARRUDA-PROF.;"ITAPOLIS                               ";QM-DOCENTE;1;6409;PROFESSOR EDUCACAO BASICA II;F;0;0;0;0;0;0;0;0;31;31;165826
INTERIOR;"D.E.REG. TAUBATE  ";0;39647;"D.E.REG. TAUBATE  ";"TAUBATE                                ";QM-SUPORTE;1;6444;SUPERVISOR DE ENSINO;A;1;0;0;0;0;0;0;0;1;31;356868
INTERIOR;"D.E.REG. TAUBATE  ";13882;41766;EE EDUARDO JOSE DE CAMARGO-CEL;"PARAIBUNA                              ";QM-DOCENTE;2;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;0;0;3;31;306159
INTERIOR;"D.E.REG. TAUBATE  ";14175;41814;"EE AMADOR BUENO DA VEIGA      ";"TAUBATE                                ";QAE;1;4344;ASSISTENTE ADM. ESCOLAR;A;0;1;0;0;0;0;0;0;1;31;203592
INTERIOR;"D.E.REG. TAUBATE  ";14266;42614;EE URBANO ALVES S.PEREIRA-ENG.;"TAUBATE                                ";QAE;1;4341;AGENTE DE ORGANIZACAO ESCOLAR;O;1;0;0;0;0;0;0;0;1;31;497679
INTERIOR;"D.E.REG. TUPA  ";31586;44619;"EE PARAPUA DE                 ";"PARAPUA                                ";QAE;1;4341;AGENTE DE ORGANIZACAO ESCOLAR;A;0;0;0;0;31;0;0;0;31;31;271070
INTERIOR;"D.E.REG. TUPA  ";32530;44731;"EE ANTONIO JOSE SANTOS DOM    ";"RANCHARIA                              ";QAE;1;4341;AGENTE DE ORGANIZACAO ESCOLAR;O;0;1;0;0;0;0;0;0;1;31;498483
INTERIOR;"D.E.REG. TUPA  ";33315;44972;EE F.B.SOUZA(CHIQUINHO) PROF.;"QUATA                                  ";QAE;1;4341;AGENTE DE ORGANIZACAO ESCOLAR;O;0;0;0;0;0;0;0;0;1;31;483889
INTERIOR;D.E.REG. VOTORANTIM;4039;19722;"EE       JARDIM SAO MATHEUS   ";"VOTORANTIM                             ";QM-DOCENTE;1;5774;PROFESSOR DE ENSINO FUNDAMENTAL E MEDIO;O;0;0;0;0;0;0;0;0;31;31;473686
INTERIOR;D.E.REG. VOTORANTIM;16743;42156;EE ANTONIETA FERRARESE-PROFA.;"VOTORANTIM                             ";QM-DOCENTE;2;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;0;31;31;31;234907
INTERIOR;D.E.REG. VOTORANTIM;16755;42149;"EE ARMANDO RIZZO-PROF.       ";"VOTORANTIM                             ";QM-DOCENTE;1;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;0;0;31;31;132809
INTERIOR;D.E.REG. VOTORANTIM;16883;42140;EE CARLOS AUGUSTO CAMARGO-PROF;"PIEDADE                                ";QSE;1;4349;OFICIAL ADMINISTRATIVO;A;1;1;0;0;0;0;0;0;2;31;155561
INTERIOR;D.E.REG. VOTORANTIM;16901;42136;EE MARIA ANGELICA BAILLOT-PROF;"ARACOIABA DA SERRA                     ";QM-DOCENTE;1;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;0;0;31;31;191459
INTERIOR;D.E.REG. VOTORANTIM;36183;46756;EE MARIA HELENA S.C.CESAR-PROF;"PIEDADE                                ";QM-DOCENTE;1;6409;PROFESSOR EDUCACAO BASICA II;F;0;0;0;0;0;0;0;0;31;31;177471
INTERIOR;D.E.REG. VOTORANTIM;46139;60034;EE THEODORA CAMARGO AYRES-PROF;"PIEDADE                                ";QM-DOCENTE;1;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;0;0;31;31;141436
INTERIOR;D.E.REG. VOTORANTIM;919950;10775;"EE SUZANA WALTER              ";"SALTO DE PIRAPORA                      ";QAE;1;4341;AGENTE DE ORGANIZACAO ESCOLAR;A;0;0;0;0;31;0;0;0;31;31;270230
INTERIOR;D.E.REG. VOTUPORANGA;0;39696;D.E.REG. VOTUPORANGA;"VOTUPORANGA                            ";QSE;1;3899;ANALISTA  ADMINISTRATIVO;A;0;0;0;0;0;0;0;0;3;31;346894
INTERIOR;D.E.REG. VOTUPORANGA;27686;44155;"EE CLARINDA MACHADO DE SOUZA  ";"RIOLANDIA                              ";QAE;1;4340;AGENTE DE SERVICOS ESCOLARES;A;0;0;0;0;0;0;0;0;31;31;131687
O_CENTRAL;"COFI - COORD. ORCAMENTO E FINANCAS ";0;94867;"COFI - COORD. ORCAMENTO E FINANCAS ";"SAO PAULO                              ";QSE;1;3905;ASSESSOR II;C;1;0;0;0;0;0;0;0;1;31;542291
O_CENTRAL;COORD.INF.SERVICOS ESCOLARES;0;94888;COORD.INF.SERVICOS ESCOLARES;"SAO PAULO                              ";QSE;1;3906;ASSESSOR TECNICO I;C;0;0;0;0;0;0;0;0;3;31;502630
O_CENTRAL;COORD.INF.SERVICOS ESCOLARES;0;94888;COORD.INF.SERVICOS ESCOLARES;"SAO PAULO                              ";QSE;1;5716;ASSESSOR TECNICO II;C;0;0;0;0;0;0;0;0;4;31;405601
O_CENTRAL;"DEPARTAMENTO DE ADMINISTRACAO ";0;40447;"DEPARTAMENTO DE ADMINISTRACAO ";"SAO PAULO                              ";QSE;1;3905;ASSESSOR II;C;0;0;1;0;0;0;0;0;1;31;366544
O_CENTRAL;"DEPARTAMENTO DE ADMINISTRACAO ";0;40447;"DEPARTAMENTO DE ADMINISTRACAO ";"SAO PAULO                              ";QSE;1;3912;AUXILIAR SERV.GERAIS;A;1;0;0;0;0;0;0;0;1;31;342883
CAPITAL;D.E.REG. CENTRO;449;39803;"EE TAUNAY VISCONDE            ";"SAO PAULO                              ";QM-DOCENTE;1;6407;PROFESSOR EDUCACAO BASICA I;A;0;0;0;0;31;0;0;0;31;31;165844
CAPITAL;D.E.REG. CENTRO;504;39789;EE MARIO TEIXEIRA MARIANO PROF;"SAO PAULO                              ";QM-DOCENTE;2;6407;PROFESSOR EDUCACAO BASICA I;A;0;0;0;0;0;0;0;31;31;31;148632
CAPITAL;D.E.REG. CENTRO;536;39801;"EE TARCISIO ALVARES LOBO      ";"SAO PAULO                              ";QM-DOCENTE;2;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;15;0;0;0;0;15;31;207993
CAPITAL;D.E.REG. CENTRO;723;39829;"EE OCTAVIO MENDES DR.        ";"SAO PAULO                              ";QAE;1;4341;AGENTE DE ORGANIZACAO ESCOLAR;O;0;0;0;0;0;0;0;0;18;31;500100
CAPITAL;D.E.REG. CENTRO;1454;39882;EE ANTONIO FIRMINO PROENCA PF.;"SAO PAULO                              ";QM-DOCENTE;1;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;0;0;27;31;250249
CAPITAL;D.E.REG. CENTRO;1521;39900;"EE PAULO LUIG FREI            ";"SAO PAULO                              ";QAE;1;4341;AGENTE DE ORGANIZACAO ESCOLAR;A;0;0;0;0;0;0;0;0;12;31;357966
CAPITAL;D.E.REG. CENTRO;1570;39896;"EE ORESTES GUIMARAES          ";"SAO PAULO                              ";QAE;1;4341;AGENTE DE ORGANIZACAO ESCOLAR;A;0;2;0;0;0;0;0;0;2;31;283533
CAPITAL;D.E.REG. CENTRO;1570;39896;"EE ORESTES GUIMARAES          ";"SAO PAULO                              ";QM-DOCENTE;2;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;0;0;30;31;149350
CAPITAL;D.E.REG. CENTRO;3448;40101;"EE PEDRO II                   ";"SAO PAULO                              ";QAE;1;4341;AGENTE DE ORGANIZACAO ESCOLAR;O;0;1;0;0;0;0;0;0;1;31;500558
CAPITAL;D.E.REG. CENTRO;3499;40110;EE ZULEIKA B.M.FERREIRA PROFA.;"SAO PAULO                              ";QM-DOCENTE;1;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;0;31;31;31;153160
CAPITAL;"D.E.REG. CENTRO OESTE ";0;23842;"D.E.REG. CENTRO OESTE ";"SAO PAULO                              ";QSE;1;3915;DIRETOR I;C;0;2;0;0;0;0;0;0;2;31;539987
